ambiguity,fileid,nps,numbers,sent
Oxford,training/3699,a share buyback~~~significant dividend increase~~~a stock split,"['S', 'S', 'S']","""This implies the possibility of a share buyback, or significant dividend increase or a stock split,"" he said."
Oxford,training/3717,"the end of last month~~~a decline of 3,800 from the January total of 712,500~~~comparing with 750,000","['S', 'S', 'S']","The unadjusted figure stood at 708,700 at the end of last month, a decline of 3,800 from the January total of 712,500 and comparing with 750,000 at the end of February last year."
Neither,training/372,29 dlrs cash~~~six dlrs in debentures~~~a warrant to buy shares in a subsidiary of PC Acquisition containing the U.S. courier operations,"['S', 'P', 'S']","If all the shares of Purolator are tendered, shareholders would receive for each share 29 dlrs cash, six dlrs in debentures, and a warrant to buy shares in a subsidiary of PC Acquisition containing the U.S. courier operations."
Neither,training/3743,Good domestic demand~~~higher operating earnings~~~a strng export business,"['S', 'P', 'S']","Good domestic demand, higher operating earnings and a strng export business, probably benefitting from a lower dollar and effects of reduced imports in chemicals will continue to aid Du Pont."""
Oxford,training/3779,the Maritime Transport Authority~~~leading gas distributor Distrigaz~~~CGER savings bank~~~CGER~~~several other credit institutions,"['S', 'S', 'S', 'S', 'P']","Also on Verhofstadt's list are the Maritime Transport Authority, leading gas distributor Distrigaz, CGER savings bank, CGER, and several other credit institutions."
Oxford,training/3793,a half ounce~~~a quarter ounce~~~a tenth of an ounce,"['S', 'S', 'S']","The smaller coins will be in denominations of a half ounce, a quarter ounce and a tenth of an ounce."
Neither,training/3798,European firms~~~well-heeled U.S. institutional investors~~~major oil companies,"['P', 'P', 'P']","However, the quick pace of foreign investment has heated up competition among European firms, well-heeled U.S. institutional investors and major oil companies to snare choice domestic oil properties."
Oxford,training/3798,"Arthur Smith~~~an oil property appraisal specialist~~~president of John S. Herold Inc in Greenwich , Conn. `` Europeans , especially , do not have much indigenous oil and gas and realize the tide will eventually turn in favor of the Organization of Petroleum Exporting Countries , '' he added","['S', 'S', 'P']","""Foreign investors have been here nibbling a long time, but we're seeing new names and smaller companies coming in,"" said Arthur Smith, an oil property appraisal specialist and president of John S. Herold Inc in Greenwich, Conn. ""Europeans, especially, do not have much indigenous oil and gas and realize the tide will eventually turn in favor of the Organization of Petroleum Exporting Countries,"" he added."
Oxford,training/3798,the fall in value of the U.S. dollar~~~the perception that oil prices have hit bottom~~~the fact that it is cheaper to buy new reserves than to explore for them,"['S', 'S', 'S']","Smith and other oil industry analyst and economists believe the trend in foreign investments will continue in 1987 because of the fall in value of the U.S. dollar, the perception that oil prices have hit bottom and the fact that it is cheaper to buy new reserves than to explore for them."
Lack of Oxford,training/3798,two Belgian-owned firms~~~<Petrofina S.A.>~~~<Cometra Oil S.A.>,"['P', 'S', 'S']","A partnership of two Belgian-owned firms, <Petrofina S.A.> and <Cometra Oil S.A.> paid 150 mln dlrs late last year to buy virtually all the exploration assets of the Williams Cos <WMB>, the Oklahoma pipeline firm."
Oxford,training/3798,the pay-back period of a property~~~its geographic location~~~the lifting cost of the crude oil,"['S', 'S', 'S']","Most buyers said the pay-back period of a property, its geographic location and the lifting cost of the crude oil are more important factors in evaluating potential acquisitions than relying on a simple price-per-barrel formula."
Oxford,training/3798,Texas~~~Oklahoma~~~Louisiana,"['S', 'S', 'S']","Rich Hodges, a Houston-based land manager representing International Oil and Gas Corp, a partnership of <Preussag Corp> and <C. Deilmann Inc> of West Germany, said the firm had earmarked at least 50 mln dlrs to spend on oil reserves in Texas, Oklahoma or Louisiana in the coming months."
Oxford,training/3800,Vranitzky~~~Finance Minister Ferdinand Lacina~~~National Bank President Stefan Koren~~~a WIFO representative,"['S', 'S', 'S', 'S']","Helmut Kramer, spokesman for Chancellor Franz Vranitzky, told Reuters that the forecast had been made during the meeting attended by Vranitzky, Finance Minister Ferdinand Lacina, National Bank President Stefan Koren and a WIFO representative."
Oxford,training/3838,Chancellor Franz Vranitzky~~~Finance Minister Ferdinand Lacina~~~National Bank President Stefan Koren,"['S', 'S', 'S']","Kramer made the forecast at a meeting today on Austria's economic outlook also attended by Chancellor Franz Vranitzky, Finance Minister Ferdinand Lacina and National Bank President Stefan Koren."
Oxford,training/3862,silver~~~copper~~~zinc~~~other minerals,"['S', 'S', 'S', 'P']","Foreign sales of silver, copper, zinc and other minerals earn Peru over half of its export income."
Neither,training/3870,"gain from discontinued operations of 3.8 mln dlrs~~~34 cts a share~~~vs 731,000 dlrs~~~seven cts a share","['S', 'S', 'P', 'S']","Nine months net includes gain from discontinued operations of 3.8 mln dlrs, or 34 cts a share, vs 731,000 dlrs, or seven cts a share, in the first nine months of fiscal 1985."
Oxford,training/3873,54 Army~~~Air Force~~~Navy~~~Coast Guard installations,"['S', 'S', 'S', 'P']","American Video is a closely held company operating video rental concessions in post and base exchanges at 54 Army, Air Force, Navy and Coast Guard installations."
Oxford,training/3884,40 cts a share~~~a loss of 1.1 mln dlrs~~~10 cts a share,"['S', 'S', 'S']","In addition, it reported fiscal 1986 nine months' net income of 4.4 mln dlrs, or 40 cts a share, versus a loss of 1.1 mln dlrs, or 10 cts a share, in fiscal 1985's first three quarters."
Lack of Oxford,training/3886,professional services~~~administrative costs~~~manufacturing overhead~~~non-essential development services,"['P', 'P', 'S', 'P']","It said other reductions include the use of professional services, administrative costs, manufacturing overhead and non-essential development services, adding these cuts are expected to have a significant impact beginning in the second quarter."
Oxford,training/3899,Invacare Corp chairman~~~president~~~chief executive officer,"['S', 'S', 'S']","Invacare Corp chairman, president and chief executive officer A. Malachi Mixon III said he expects the home healthcare equipment company to post sales increases in the 10 to 15 pct range in 1987."
Neither,training/3902,television sets~~~video cassette records~~~personal computers,"['P', 'P', 'P']","South Korea is a major exporter to the U.S. of textiles and apparel and electronic goods, such as television sets, video cassette records and personal computers."
Neither,training/3902,electronic testing equipment~~~grains~~~cotton,"['S', 'P', 'S']","Its purchases from the United States include electronic testing equipment, grains and cotton."
Oxford,training/3906,veba oel of west germany~~~nynas petroelum in sweden~~~citgo in the united states,"['S', 'S', 'S']","Hernandez said pdsva has entered similar joint ventures with veba oel of west germany, nynas petroelum in sweden, and citgo in the united states."
Oxford,training/3918,the Atchison~~~Topeka~~~Santa Fe,"['S', 'S', 'S']","Kansas City Southern Industries Inc said an attempt by Santa Fe Southern Pacific Co <SFX> to reopen the proposed merger of the Atchison, Topeka and Santa Fe Railway Co and the Southern Pacific Transportation Co offers ""nothing truly new."""
Neither,training/3931,television sets~~~video cassette records~~~personal computers,"['P', 'P', 'P']","South Korea is a major exporter to the United States of textiles and apparel and electronic goods, such as television sets, video cassette records and personal computers."
Neither,training/3931,electronic testing equipment~~~grains~~~cotton,"['S', 'P', 'S']",Its puchases from the United States include electronic testing equipment and grains and cotton.
Oxford,training/3942,housing~~~construction~~~furniture,"['S', 'S', 'S']","He said the contract calls for supplying 21 mln board feet to 30 mln board feet of softwood lumber for housing, construction and furniture manufacturing."
Oxford,training/3950,sunflower~~~corn~~~rapeseed,"['S', 'S', 'S']","In its World Production and Trade Report, the department said the increase in tariffs on this category which includes sunflower, corn and rapeseed oils, was a reaction to importers using basket categories to avoid paying tariffs on specific high-tariff products."
Oxford,training/3981,Buenos Aires province~~~Cordoba~~~La Pampa~~~Santa Fe provinces,"['S', 'S', 'S', 'P']","Rains fell heaviest early in the week, and in particularly high volume in Buenos Aires province, Cordoba, La Pampa and Santa Fe provinces."
Neither,training/3981,western sectors of the province~~~20 to 145 mm in La Pampa~~~25 to 120 mm in Cordoba~~~10 to 75 mm in Santa Fe,"['P', 'P', 'P', 'P']","Rainfall totalled between 20 and 290 mm in Buenos Aires, heaviest in western sectors of the province, 20 to 145 mm in La Pampa, 25 to 120 mm in Cordoba, and 10 to 75 mm in Santa Fe."
Neither,training/3981,five to 50 mm in Corrientes~~~five to 31 mm in San Luis~~~five to 30 mm in Entre Rios~~~three to 20 mm in Misiones~~~11 to 17 mm in Formosa~~~one to eight mm in Chaco,"['P', 'P', 'P', 'P', 'P', 'P']","Rainfall totalled from five to 50 mm in Corrientes, five to 31 mm in San Luis, five to 30 mm in Entre Rios, three to 20 mm in Misiones, 11 to 17 mm in Formosa and one to eight mm in Chaco."
Oxford,training/3990,Broad~~~Vogt~~~Conant,"['S', 'S', 'S']","The combined companies, to be called Broad, Vogt and Conant INc, will be the largest structural steel erection company in the U.S. Combined sales of the two operations were more than 40 mln dlrs in 1986."
Oxford,training/3993,Goldman~~~Sachs~~~Co,"['S', 'S', 'S']","Goldman, Sachs and Co told the Securities and Exchange Commission it sold nearly its entire stake in First Pennsylvania Corp of 2,450,598 shares, or 5.2 pct of the total outstanding common stock."
Neither,training/4012,costs from sale of bank assets to Hongkong Bank of Canada~~~eight mln dlrs for contingent liabilities in respect of litigation and potential tax reassessment by U.S. govt~~~35.9 mln dlrs of deferred tax debits,"['P', 'P', 'P']","1986 yr net excludes extraordinary loss of 66 mln dlrs or 1.94 dlrs shr involving 22.1 mln dlrs of costs from sale of bank assets to Hongkong Bank of Canada, eight mln dlrs for contingent liabilities in respect of litigation and potential tax reassessment by U.S. govt and 35.9 mln dlrs of deferred tax debits."
Lack of Oxford,training/4016,oilfield services~~~raw materials~~~minerals~~~chemicals~~~real estate,"['P', 'P', 'P', 'P', 'S']","About 24 pct of total sales came from USX's USS steel unit and 16 pct from diversified businesses, which include oilfield services, raw materials, minerals, chemicals and real estate."
Oxford,training/4016,Utah~~~Pennsylvania~~~Texas,"['S', 'S', 'S']","The charge included the ""indefinite idling"" last month of four plants in Utah, Pennsylvania and Texas."
Oxford,training/4016,Pennsylvania~~~Indiana~~~Alabama~~~Ohio~~~Chicago,"['S', 'S', 'S', 'S', 'S']","Other plants or parts of plants in Pennsylvania, Indiana, Alabama, Ohio and Chicago had been previously idled. """
Oxford,training/4026,Japan~~~South Korea~~~Taiwan~~~West Germany~~~other countries with the largest trade imbalances,"['S', 'S', 'S', 'S', 'P']","This would be a moderated version of his earlier plan to force a mandatory ten per cent annual cut in the trade surplus with the United States by Japan, South Korea, Taiwan, West Germany and other countries with the largest trade imbalances."
Neither,training/4026,collective bargaining~~~safety rules~~~payment of a minimum wage appropriate to the country 's economic development,"['S', 'P', 'S']","The lawmakers agreed that for the first time a U.S. industry could charge foreign producers with unfair competition if they deny basic worker rights such as collective bargaining, safety rules and payment of a minimum wage appropriate to the country's economic development."
Oxford,training/4033,its financial advisors~~~goldman sachs~~~co,"['S', 'S', 'S']","The decision was based on, among other things, the advise of its financial advisors, goldman sachs and co, that the offer of 145 dlrs per share was inadequate."
Oxford,training/4052,scale~~~integration~~~more efficient market penetration,"['S', 'S', 'S']","He added takeovers and mergers had an important role to play in furthering economies of scale, integration and more efficient market penetration."
Neither,training/4054,baby nappies~~~medical tapes~~~other bonding agents,"['P', 'P', 'P']","Waterwhite resins are widely used in adhesive applications for baby nappies, medical tapes, and other bonding agents."
Neither,training/4055,equipment used in advanced missiles~~~aircraft electronics~~~intelligence gathering,"['S', 'P', 'S']","The officials told reporters Baldrige had serious concerns on national security grounds about the sale of Schlumberger Ltd <SLB> unit <Fairchild Semiconductor Inc> to Fujitsu Ltd <ITSU.T>. The officials said the sale could leave the United States overly dependent on a foreign company for equipment used in advanced missiles, aircraft electronics and intelligence gathering."
Oxford,training/4057,Egypt~~~China~~~Iran~~~the Soviet Union~~~Iraq,"['S', 'S', 'S', 'S', 'S']","He did not detail the commitments already made, but an AWB spokesman said they include sales to Egypt, China, Iran, the Soviet Union and Iraq."
Oxford,training/4058,Western Australia~~~Queensland~~~New South Wales~~~Tasmania,"['S', 'S', 'S', 'S']","Other gold exploration interests to be acquired by Norgold are in Western Australia, Queensland, New South Wales and Tasmania, NBH said."
Oxford,training/4063,introduction of higher yielding seeds~~~better training for farmers~~~increased use of fertilizers,"['S', 'S', 'S']","Dharyono said production was behind a five year plan target of 420,000 tonnes for the current year, but Indonesia is trying to boost output through introduction of higher yielding seeds, better training for farmers and increased use of fertilizers."
Lack of Oxford,training/4064,2.18 N.Z. Dlrs~~~BIL at 4.08~~~Renouf,"['P', 'S', 'S']","NZI shares were at 2.18 N.Z. Dlrs, BIL at 4.08 and Renouf at 6.15 at the close of trading."
Oxford,training/4066,a half ounce~~~a quarter ounce~~~a tenth of an ounce,"['S', 'S', 'S']","The smaller coins will be in denominations of a half ounce, a quarter ounce and a tenth of an ounce."
Oxford,training/4067,NCB~~~Riyad Bank~~~the joint-ventures SAMBA~~~Saudi French~~~Arab National Bank,"['S', 'S', 'S', 'S', 'S']","Bankers generally said NCB, Riyad Bank and the joint-ventures SAMBA, Saudi French and Arab National Bank rank as the strongest earners."
Oxford,training/4069,a Jersey-based company~~~Marketing~~~Acquisitions Consultants,"['S', 'S', 'P']","Guinness says its former chairman Ernest Saunders and Ward ""breached their fiduciary duty"" in authorising the payment to Ward, via a Jersey-based company, Marketing and Acquisitions Consultants and has gone to the Jersey court to recover it."
Oxford,training/4071,"Costa Rica~~~the Dominican Republic~~~Ecuador~~~Honduras~~~India~~~Papua New Guinea~~~Peru , which proposed a new quota system at last month 's failed International Coffee Organistion -LRB- ICO -RRB- talks in London","['S', 'S', 'S', 'S', 'S', 'S', 'S']","Indonesia was one of a group of eight producing countries, along with Costa Rica, the Dominican Republic, Ecuador, Honduras, India, Papua New Guinea and Peru, which proposed a new quota system at last month's failed International Coffee Organistion (ICO) talks in London."
Oxford,training/4071,the U.S.~~~Japan~~~the Netherlands~~~West Germany~~~Canada,"['S', 'S', 'S', 'S', 'S']","He said Indonesia was in contact with consumers such as the U.S., Japan, the Netherlands, West Germany and Canada ahead of an ICO executive board meeting scheduled for April 1."
Oxford,training/4071,Brazil~~~the U.S.~~~The largest consumer,"['S', 'S', 'S']","Brazil and the U.S., The largest consumer, are both refusing to alter their positions."
Oxford,training/4075,Swedish tyres~~~process equipment~~~components firm <Trelleborg AB>,"['S', 'S', 'S']","Swedish tyres, process equipment and components firm <Trelleborg AB> has taken a majority stake in Boliden since the beginning of this year."
Oxford,training/4093,exports~~~shipping~~~insurance~~~bank,"['P', 'S', 'S', 'S']","The central bank now has to clear remittances exceeding one mln U.S. Dlrs earned from exports, shipping and insurance and bank lending plus remittances of more than 10,000 dlrs from any other source."
Oxford,training/4093,freight~~~insurance~~~royalties,"['S', 'S', 'P']","Meanwhile, traders are no longer required to report all outward payments concerning invisible trade, including freight, insurance and royalties, to the central bank."
Neither,training/4093,foreign government bonds~~~treasury bills~~~certificates of deposit,"['P', 'P', 'P']","Taiwan last year eased some of its financial regulations to enable Taiwan nationals to invest in foreign government bonds, treasury bills and certificates of deposit and to allow individuals to take 5,000 U.S. Dlrs in cash out of the country each year."
Oxford,training/4099,Woodhouse~~~Drake~~~Carey,"['S', 'S', 'S']","E D and F Man and Woodhouse, Drake and Carey both said they sold single cargoes at 237.35 dlrs a tonne cif for April/May and were granted options to sell an extra cargo each at the same price for May/June at the Indian buying tender for three to four cargoes of whites held yesterday."
Oxford,training/4101,Saudi Arabia~~~the United Arab Emirates~~~Kuwait,"['S', 'S', 'S']","Frawley is on a Gulf tour which will also take him to Saudi Arabia, the United Arab Emirates and Kuwait to assess market potential."
Oxford,training/4127,scale~~~integration~~~more efficient market penetration,"['S', 'S', 'S']","He added takeovers and mergers had an important role to play in furthering economies of scale, integration and more efficient market penetration."
Oxford,training/4133,Illinois~~~California~~~Florida~~~Indiana,"['S', 'S', 'S', 'S']","Higashi Nippon House said it would offer around 2,200 acres of land in Illinois, California, Florida and Indiana from early April to gauge response."
Oxford,training/4133,rice~~~corn~~~soybean~~~oranges,"['S', 'S', 'S', 'P']","American farmers would continue as working tenants and part of the profits from harvests of rice, corn, soybean and oranges would go to the Japanese investors as rental."
Oxford,training/4135,its financial advisors~~~Goldman Sachs~~~Co,"['S', 'S', 'S']","The decision was based on, among other things, the advice of its financial advisors, Goldman Sachs and Co, that the offer of 145 dlrs per share was inadequate."
Oxford,training/4145,Pope~~~Evans~~~Robbins Inc,"['S', 'S', 'S']","Pope, Evans and Robbins Inc said it has repurchased 780,000 common shares from Putnam Mills Corp principals Sidney and Peter Kaplan for 2.25 dlrs per share."
Neither,training/4158,vital high technology equipment used in its advanced missiles~~~aircraft electronics~~~intelligence gathering,"['S', 'P', 'S']","The officials told Reuters that if the sale went through it could leave the U.S. military overly dependent on a foreign /ompany for vital high technology equipment used in its advanced missiles, aircraft electronics and intelligence gathering."
Neither,training/4160,disk drives~~~solid-state memory enhancement devices~~~printers manufactured by Hitachi Ltd <HIT> of Japan,"['P', 'P', 'P']","Sand Technology sells, under its trademark, computer accessories such as disk drives, solid-state memory enhancement devices and printers manufactured by Hitachi Ltd <HIT> of Japan."
Lack of Oxford,training/4165,rising exports~~~stepped-up government spending~~~falling prices. '',"['P', 'S', 'S']","Japanese bank economists polled by Reuters said the economy's 18 month-old slowdown is likely to end in the first half of this year, helped by rising exports, stepped-up government spending and falling prices. """
Oxford,training/4165,the U.K.~~~Canada~~~France~~~Japan~~~the U.S.~~~West Germany,"['S', 'S', 'S', 'S', 'S', 'S']","Six nations - the U.K., Canada, France, Japan, the U.S. And West Germany - pledged in Paris last month to stabilise currencies around current levels."
Oxford,training/4170,exports~~~shipping~~~insurance~~~bank,"['P', 'S', 'S', 'S']","Remittances exceeding one mln dlrs earned through exports, shipping, insurance or bank lending will now need government approval, along with remittances of more than 10,000 dlrs from any other source."
Neither,training/4172,Taiwan~~~the United States~~~other trading partners,"['S', 'P', 'P']",The official said the moves were intended to balance trade between Taiwan and the United States and other trading partners.
Oxford,training/4182,Clayton~~~Dubilier Inc~~~senior management of a unit of Borg-Warner Corp <BOR>,"['S', 'S', 'S']",Clayton and Dubilier Inc and senior management of a unit of Borg-Warner Corp <BOR> said it will form a new company to buy Borg-Warner's industrial products group for about 240 mln dlrs.
Oxford,training/4182,Peter Valli~~~vice president of Borg-Warner Corp~~~president of its industrial products division,"['S', 'S', 'S']","Peter Valli, vice president of Borg-Warner Corp and president of its industrial products division, will become president and chief executive officer of the new company, according to Clayton."
Oxford,training/42,International Coffee Organization~~~ICO~~~producing countries,"['S', 'S', 'P']","International Coffee Organization, ICO, producing countries will present a proposal for reintroducing export quotas for 12 months from April 1 with a firm undertaking to try to negotiate up to September 30 any future quota distribution on a new basis, ICO delegates said."
Neither,training/4201,standard and custom engineered centrifugal pumps~~~mechanical seals for the petroleum industry~~~advanced controls for the aerospace and defense industries,"['P', 'P', 'P']",Its businesses include standard and custom engineered centrifugal pumps and mechanical seals for the petroleum industry and advanced controls for the aerospace and defense industries.
Oxford,training/4204,Guardman Investment~~~current manager~~~owner of all common shares of Guardian-Morton,"['S', 'S', 'S']","Guardman Investment, current manager and owner of all common shares of Guardian-Morton, also agreed to sell the common and its management agreement to a company controlled by Sarlos if the takeover bid is successful, Guardian-Morton said."
Neither,training/422,a share~~~vs 5.1 mln dlrs~~~37,"['S', 'P', 'S']","Oper shr 1.80 dlrs vs 1.46 dlrs Oper net 25.0 mln vs 20.2 mln Sales 1.09 billion vs 996.4 mln Avg shrs 13.9 mln vs 13.8 mln Year Oper shr 3.20 dlrs vs 2.57 dlrs Oper net 44.4 mln vs 35.4 mln Sales 3.87 billion vs 3.43 billion Avg shrs 13.9 mln vs 13.8 mln NOTES: Operating net excludes losses of 12.1 mln dlrs, or 87 cts a share, vs 321,000 dlrs, or two cts a share, in quarter and 6.0 mln dlrs, or 43 cts a share, vs 5.1 mln dlrs, or 37 cts a share, from discontinued operations."
Neither,training/4227,Compact Discs~~~CD-ROMs~~~laser-read videodiscs,"['P', 'P', 'P']","Quixote said its wholly owned subsidiary, LaserVideo Inc, is making advancements in the art of mastering and manufacturing Compact Discs, CD-ROMs and laser-read videodiscs."
Neither,training/4231,major cash crops such as cotton~~~vegetables~~~orchard trees~~~citrus fruits~~~garden plants,"['P', 'P', 'P', 'P', 'P']","Varieties of the deadly disease attack major cash crops such as cotton, vegetables, orchard trees, citrus fruits, and garden plants, the company said."
Neither,training/4232,products~~~low feedstocks~~~energy costs for our operations,"['P', 'P', 'P']","""This was our second best year pushed by a good supply and demand balance for products, low feedstocks and energy costs for our operations,"" Silas said, ""In 1987 we think the market's supply and demand balance will be just as good but feedstock and energy costs will rise due to price recovery."""
Neither,training/4233,banks~~~trust companies~~~foreign companies,"['P', 'P', 'P']","Under federal and provincial government regulations expected to be in place by June 30, banks, trust companies and foreign companies will be allowed to acquire existing investment dealers or establish their own securities subsidiaries."
Oxford,training/4246,Mobil~~~Exxon~~~Texaco~~~Chevron,"['S', 'S', 'S', 'S']","The kingdom's main buyers, the four U.S. Oil firms with past stakes in the national oil company Aramco -- Mobil, Exxon, Texaco and Chevron -- enjoy considerable flexibility in the timing and volume of their liftings but are bound to pay official prices, the sources said."
Oxford,training/425,five-year government bonds~~~the share price index~~~90-day bank bills~~~90-day prime commercial paper~~~the U.S. Dollar~~~crossbred wool~~~wheat,"['P', 'S', 'P', 'S', 'S', 'S', 'S']","The seven contracts currently traded on the NZFE are: five-year government bonds, the share price index, 90-day bank bills, 90-day prime commercial paper, the U.S. Dollar, crossbred wool, and wheat."
Neither,training/4267,government ministers~~~producers~~~exporters~~~market analysts,"['P', 'P', 'P', 'P']","IBC president Jorio Dauster is meeting government ministers, producers, exporters and market analysts to assess Brazil's position in the light of the failure of talks in London earlier this month to set new International Coffee Organization, ICO, export quotas. """
Oxford,training/4267,new International Coffee Organization~~~ICO~~~export quotas.,"['S', 'S', 'S']","IBC president Jorio Dauster is meeting government ministers, producers, exporters and market analysts to assess Brazil's position in the light of the failure of talks in London earlier this month to set new International Coffee Organization, ICO, export quotas. """
Lack of Oxford,training/4267,discounts~~~bonuses~~~price,"['P', 'P', 'S']","With little expectation of other sales incentive mechanisms such as discounts, bonuses and price fall guarantees being introduced, the level of the quota will be decisive in determining the competitiveness of Brazilian coffee on world markets, they said."
Oxford,training/4303,Audio/Video Affiliates Inc~~~Citicorp Capital Investors Ltd~~~other investors,"['S', 'S', 'P']",Cyacq includes Audio/Video Affiliates Inc and Citicorp Capital Investors Ltd and other investors.
Oxford,training/4303,Pennsylvania~~~Ohio~~~other states,"['S', 'S', 'P']","Cyclops employs about 8,900 people in Pennsylvania, Ohio and other states."
Oxford,training/4310,the Oregon Bank~~~Orbanco Real Estate Service Co~~~American Data Service Inc~~~Orbanco Securities Corp. Security Pacific,"['S', 'S', 'S', 'S']","Orbanco, with one billion dlrs in assests, is the holding company for the Oregon Bank, Orbanco Real Estate Service Co, American Data Service Inc and Orbanco Securities Corp. Security Pacific now has four major regional bank purchases outside California completed or pending."
Lack of Oxford,training/4333,two new units~~~Technical Services~~~Application Technology,"['P', 'P', 'S']","Mobil said the operation will consist of two new units, Technical Services and Application Technology, along with the existing Drilling and New Exploration Ventures groups."
Lack of Oxford,training/4338,strikes~~~the falling dollar~~~declining oil prices,"['P', 'S', 'P']","Fabrique Nationale Herstal SA <FNHB.BR> said it suffered a net loss of 2.99 billion francs last year after being hit by strikes, the falling dollar and declining oil prices."
Lack of Oxford,training/4338,local authorities~~~banks~~~the workforce,"['P', 'P', 'S']","It added that the restructuring plan would allow the firm to return to long term profitability once it had been approved by local authorities, banks and the workforce."
Oxford,training/4340,oil~~~gas~~~fish~~~wildlife,"['S', 'S', 'S', 'S']","He said Interior's study also failed to weigh oil, gas, fish and wildlife information the State of Alaska had gathered nor had the department consulted the Environmental Protection Agency on the possible effects of exploration."
Oxford,training/435,Whittaker General Medical Corp~~~Bennes MArrel SA of France~~~Juster Steel Corp,"['S', 'S', 'S']","The company said in the first quarter ended January 31,m it completed the divestiture of its health maintenance organization operations to Travelers Corp <TIC> , sold its Whittar Steel Strip operations to <DofascoxInc> and sold its equity investment in Bertram-Trojan Inc to an affiliate of <Investcorp>. The company said it has entered into definitive agreements to sell Whittaker General Medical Corp, Bennes MArrel SA of France and Juster Steel Corp as well."
Neither,training/4353,"operationswas 6,237,000 dlrs~~~3.01 dlrs per unit~~~vs 9,315,000 dlrs~~~4.56 dlrs per unit","['P', 'P', 'P', 'P']","Net loss 14,144,000 vs loss 863,000 Revs 10.3 mln vs 16.7 mln NOTES: 1986 loss includes write-down of 15.1 mln dlrs in the carrying value of oil and gas properties taken in the first quarter Cash flow from operationswas 6,237,000 dlrs, or 3.01 dlrs per unit, vs 9,315,000 dlrs, or 4.56 dlrs per unit"
Lack of Oxford,training/4369,29 dlrs in cash~~~six dlrs in debentures~~~a warrant to buy stock in the new company in exchange for each share,"['P', 'P', 'S']","If more are tendered, they would receive 29 dlrs in cash and six dlrs in debentures and a warrant to buy stock in the new company in exchange for each share."
Oxford,training/4371,Michigan~~~Tennessee~~~Florida~~~Arkansas~~~Louisiana,"['S', 'S', 'S', 'S', 'S']","Century Telephone Enterprises Inc said it has accepted an offer to sell its cable television properties in Michigan, Tennessee, Florida, Arkansas and Louisiana for a ""substantial"" gain."
Oxford,training/4372,"securities sale~~~interest expense net of investment income of 2.2 mln dlrs~~~920,000 dlrs in fiscal 1986","['S', 'S', 'P']","Shr 12 cts vs seven cts Net 817,000 vs 512,000 Revs 107.5 mln vs 99.9 mln Avg 6.9 mln vs 7.2 mln NOTE: 1987 net includes 2.4 mln dlr pretax gain on settlement, 743,000 dlrs gain on securities sale, interest expense net of investment income of 2.2 mln dlrs and 920,000 dlrs in fiscal 1986."
Oxford,training/4407,the Canadian Maple Leaf~~~the American Eagle~~~other gold coins,"['S', 'S', 'P']","Some said that the ""Britannia"" had come too late, with the Canadian Maple Leaf, the American Eagle and other gold coins already well established."
Oxford,training/4411,"Bessemer Securities Corp~~~a New York investment firm , Cilluffo Associates L.P. , a New York investment partnership ,~~~related entities","['S', 'S', 'P']","Bessemer Securities Corp, a New York investment firm, Cilluffo Associates L.P., a New York investment partnership, and related entities said they bought 156,000 Intermedics common shares between February 24 and March 9 for 1.4 mln dlrs."
Neither,training/4429,Defense Minister Rafael Samudio~~~military chiefs~~~Mines and Energy Minister Guillermo Perry,"['S', 'P', 'P']","He was speaking after a meeting with Defense Minister Rafael Samudio, military chiefs and Mines and Energy Minister Guillermo Perry to review the security situation in the light of a recent upsurge of leftist guerrilla attacks in the oil-rich Arauca region, bordering Venezuela."
Oxford,training/443,Bangladesh~~~Bhutan~~~India~~~Nepal~~~Pakistan,"['S', 'S', 'S', 'S', 'S']","World animal health experts called for a campaign to eradicate the lethal cattle disease Rinderpest in Bangladesh, Bhutan, India, Nepal and Pakistan, a statement from a Food and Agriculture Organization (FAO) meeting here said."
Oxford,training/443,Egypt~~~Yemen~~~Iraq~~~Iran,"['S', 'S', 'S', 'S']","Similar campaigns are needed in Egypt, Yemen, Iraq and Iran."
Oxford,training/444,"1,886.8 in February~~~1,837.2 in January~~~1,434.0 in February 1986","['S', 'S', 'S']","The index (base 1978/79), covering 14 towns and five regions, was 1,886.8 in February, 1,837.2 in January and 1,434.0 in February 1986."
Lack of Oxford,training/4467,Central and South America~~~Europe~~~the United States,"['P', 'S', 'P']","Africa added three seismic crews, the Middle East increased by two and the Far East added one while reductions were reported in Central and South America, Europe and the United States."
Oxford,training/4474,USX 's <X> subsidiary~~~Marathon oil~~~Sun Co,"['S', 'S', 'S']","The price increase follows similar moves by USX's <X> subsidiary, Marathon oil, and Sun Co <SUN> earlier today."
Oxford,training/4477,a 35 dlr-a-share~~~265 mln-dlr offer from E.F. Hutton LBO Inc~~~certain members of its Purolator courier division 's management,"['S', 'S', 'P']","Purolator agreed in late February to a 35 dlr-a-share, 265 mln-dlr offer from E.F. Hutton LBO Inc and certain members of its Purolator courier division's management."
Neither,training/4490,wheat~~~soybeans~~~feed grains,"['S', 'P', 'P']","It may be a shame, but we are locked into this,"" said Dan Glickman, (D-Kans.), chairman of the subcommittee on wheat, soybeans and feed grains."
